1009;Número de estabelecimentos agropecuários com uso de agrotóxicos por tipo de equipamento utilizado na aplicação do agrotóxico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orinteção técnica, uso de equipamentos de proteção e destino das embalagens;https://sidra.ibge.gov.br/tabela/1009;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1010;Número de estabelecimentos agropecuários com tratamento de esterco de animais por local onde ocorreu o tratamento, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orientação técnica, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1010;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1011;Número de estabelecimentos agropecuários e Área dos estabelecimentos por utilização das terras e grupos e classes da atividade econômica;https://sidra.ibge.gov.br/tabela/1011;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1012;Número de estabelecimentos agropecuários com recursos hídricos, por tipo de recurso hídrico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1012;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1013;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição do produtor em relação às terras e grupos e classes da atividade econômica;https://sidra.ibge.gov.br/tabela/1013;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1015;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente e condição do produtor em relação às terras;https://sidra.ibge.gov.br/tabela/1015;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1016;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, naturalidade ou nacionalidade da pessoa que dirige o estabelecimento, residência da pessoa que dirige o estabelecimento, associação à cooperativa e/ou entidade de classe, orientação técnica e origem da orientação técnica;https://sidra.ibge.gov.br/tabela/1016;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1017;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, naturalidade ou nacionalidade da pessoa que dirige o estabelecimento, associação à cooperativa e/ou entidade de classe e atividade econômica fora do estabelecimento agropecuário;https://sidra.ibge.gov.br/tabela/1017;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1018;Número de estabelecimentos agropecuários com produtor proprietário por forma de obtenção das terras, sexo do dirigente, classe de idade da pessoa que dirige o estabelecimento, nível de instrução da pessoa dirige o estabelecimento e grupos de área total;https://sidra.ibge.gov.br/tabela/1018;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1019;Número de estabelecimentos agropecuários com produtor proprietário por forma de obtenção das terras, naturalidade ou nacionalidade da pessoa que dirige o estabelecimento e grupos de atividade econômica;https://sidra.ibge.gov.br/tabela/1019;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1020;Produtores na direção dos trabalhos dos estabelecimentos agropecuários por sexo do dirigente, grupos de anos de direção, condição do produtor em relação às terras, classe de idade do produtor, nível de instrução do produtor e grupos de atividade econômica;https://sidra.ibge.gov.br/tabela/1020;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1021;Produtores na direção dos trabalhos dos estabelecimentos agropecuários por sexo do dirigente, grupos de anos de direção, condição do produtor em relação às terras, classe de idade do produtor, nível de instrução do produtor e grupos de área total;https://sidra.ibge.gov.br/tabela/1021;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1022;Pessoas que dirigem os estabelecimentos agropecuários por residência da pessoa que dirige o estabelecimento, sexo da pessoa que dirige o estabelecimento, condição legal do produtor, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1022;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1025;Número de estabelecimentos agropecuários com mais de 50 cabeças em 31/12, Número de cabeças de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12 e Valor dos bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12, por Movimento pecuário de bovinos nos estabelecimentos agropecuários com mais de 50 cabeças em 31/12, condição do produtor em relação às terras, finalidade da criaçãos, grupos de cabeças de bovinos e grupos de área de pastagem;https://sidra.ibge.gov.br/tabela/1025;Censo Agropecuário;Pecuária;anual;2006;2006
1031;Utilização das terras por tipo de utilização - série histórica (1920/2006);https://sidra.ibge.gov.br/tabela/1031;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;1920;2006
8418;Áreas urbanizadas, Loteamento vazio, Área total mapeada e Subcategorias;https://sidra.ibge.gov.br/tabela/8418;Áreas Urbanizadas;Geral;anual;2019;2019
1685;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;https://sidra.ibge.gov.br/tabela/1685;Cadastro Central de Empresas;Unidades locais;anual;2006;2021
1734;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção e divisão da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos das Capitais;https://sidra.ibge.gov.br/tabela/1734;Cadastro Central de Empresas;Unidades locais;anual;1996;2006
1735;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos;https://sidra.ibge.gov.br/tabela/1735;Cadastro Central de Empresas;Unidades locais;anual;1996;2006
2933;Empresas e outras organizações, por ano de fundação, seção da classificação de atividades e faixas de pessoal ocupado total;https://sidra.ibge.gov.br/tabela/2933;Cadastro Central de Empresas;Empresas e outras organizações;anual;2004;2006
3421;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais;https://sidra.ibge.gov.br/tabela/3421;Cadastro Central de Empresas;Unidades locais;anual;2010;2021
6449;Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);https://sidra.ibge.gov.br/tabela/6449;Cadastro Central de Empresas;Empresas e outras organizações;anual;2006;2021
6450;Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);https://sidra.ibge.gov.br/tabela/6450;Cadastro Central de Empresas;Unidades locais;anual;2006;2021
993;Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e ano de fundação;https://sidra.ibge.gov.br/tabela/993;Cadastro Central de Empresas;Empresas e outras organizações;anual;2006;2021
1005;Número de estabelecimentos agropecuários com eletrodomésticos, por tipo de eletroméstico utilizado, condição do produtor em relação às terras, direção do estabelecimento, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1005;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1006;Número de estabelecimentos agropecuários com produção animal integrada à indústria, por tipo de produção animal integrada à indústria, condição do produtor em relação às terras, tipos de insumos pagos pelo integrador, nível de instrução da pessoa que dirige o estabelecimento e grupos de área total;https://sidra.ibge.gov.br/tabela/1006;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1008;Número de estabelecimentos agropecuários com uso de agrotóxicos por tipo de equipamento utilizado na aplicação do agrotóxico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orinteção técnica, uso de equipamentos de proteção e indicativo de pessoas intoxicadas;https://sidra.ibge.gov.br/tabela/1008;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1009;Número de estabelecimentos agropecuários com uso de agrotóxicos por tipo de equipamento utilizado na aplicação do agrotóxico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orinteção técnica, uso de equipamentos de proteção e destino das embalagens;https://sidra.ibge.gov.br/tabela/1009;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1010;Número de estabelecimentos agropecuários com tratamento de esterco de animais por local onde ocorreu o tratamento, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orientação técnica, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1010;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1011;Número de estabelecimentos agropecuários e Área dos estabelecimentos por utilização das terras e grupos e classes da atividade econômica;https://sidra.ibge.gov.br/tabela/1011;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1012;Número de estabelecimentos agropecuários com recursos hídricos, por tipo de recurso hídrico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1012;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1013;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição do produtor em relação às terras e grupos e classes da atividade econômica;https://sidra.ibge.gov.br/tabela/1013;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
1014;Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor;https://sidra.ibge.gov.br/tabela/1014;Censo Agropecuário;Características dos produtores agropecuários ;anual;2006;2006
